job_id,cluster_k1,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8,cluster_k9,cluster_k10,cluster_k11,cluster_k12,cluster_k13,cluster_k14,cluster_k15,cluster_k16,cluster_k17,cluster_k18,cluster_k19,cluster_k20,cluster_k21,cluster_k22,cluster_k23,cluster_k24,cluster_k25,cluster_k26,cluster_k27,cluster_k28,cluster_k29,cluster_k30,cluster_k31,cluster_k32,cluster_k33,cluster_k34,cluster_k35,cluster_k36,cluster_k37,cluster_k38,cluster_k39,cluster_k40
921716,0,1,2,3,3,3,6,3,3,9,9,11,11,11,11,11,11,11,11,11,3,3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
1829192,0,1,2,3,3,3,6,3,3,9,9,11,11,11,11,11,11,11,11,11,3,3,3,3,3,3,3,3,27,27,27,3,27,27,27,3,3,3,3,3
10998357,0,1,2,3,3,4,6,3,3,9,9,11,11,11,11,13,13,13,11,11,3,3,3,3,3,3,3,3,13,3,3,3,3,3,3,3,3,3,3,3
23221523,0,1,2,3,3,3,6,2,3,2,2,2,2,2,2,15,15,15,2,2,13,13,22,22,22,22,22,22,13,13,13,22,32,32,32,32,32,32,13,13
35982263,0,0,2,2,2,2,2,6,6,6,10,8,10,8,8,8,8,8,8,8,7,7,15,7,15,15,15,7,15,28,28,29,29,29,29,29,29,29,29,29
91700727,0,1,2,3,3,3,6,3,2,9,9,11,11,11,11,11,11,11,11,11,4,4,13,13,13,13,4,13,13,4,5,5,5,5,5,5,5,5,5,5
103254301,0,1,2,3,3,3,6,2,3,2,8,8,8,8,8,8,8,5,2,2,13,13,13,13,13,13,13,27,13,13,13,28,13,13,13,13,13,13,13,13
112576855,0,1,2,3,3,3,6,3,2,9,9,11,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1218575,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2264355,0,1,2,3,3,3,6,3,3,9,9,11,11,11,11,11,11,11,11,11,3,3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
9615617,0,0,2,2,2,2,3,4,8,8,10,10,10,10,10,10,10,10,10,10,19,19,15,19,15,15,15,19,15,19,19,29,29,29,29,29,29,29,29,29
11009123,0,0,2,2,2,2,6,5,5,5,5,5,5,5,5,5,5,17,17,17,5,5,5,5,5,5,5,5,22,22,22,27,22,22,22,22,22,22,38,38
56482768,0,1,2,3,3,3,6,3,2,2,2,2,2,2,2,2,2,2,18,18,4,4,13,13,13,13,13,13,5,13,5,5,5,5,5,5,5,5,5,5
56924323,0,1,2,3,3,3,6,5,5,5,9,11,11,11,11,11,11,5,5,5,3,3,13,13,13,13,3,27,7,7,7,28,7,7,7,7,7,7,28,28
69333422,0,0,2,3,3,3,6,5,5,5,2,2,2,2,2,2,2,2,15,15,18,18,13,15,13,13,13,27,3,29,29,13,13,13,33,33,33,33,33,33
83789755,0,1,2,3,3,3,6,3,3,9,9,11,11,11,11,11,11,11,11,11,3,3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
95428182,0,1,2,3,3,3,6,2,2,2,2,2,2,2,2,2,2,2,18,18,4,4,4,4,4,4,4,18,18,18,18,18,18,18,18,18,18,18,22,22
103860943,0,1,2,3,3,3,3,2,8,8,2,2,2,2,2,10,10,10,2,2,4,4,4,4,4,4,4,4,19,19,19,19,19,29,4,4,4,4,4,4
111513530,0,1,2,3,3,3,6,3,2,2,2,2,2,2,2,11,11,2,11,11,4,4,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
115639136,0,1,2,3,3,3,6,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,13,13,13,13,13,18,18,18,18,18,18,18,18,18,18,13,22,22
117675818,0,1,1,1,3,3,6,3,3,9,9,11,11,11,11,11,11,11,11,11,3,3,3,3,10,10,10,13,13,13,13,10,13,13,13,3,3,3,3,3
121605673,0,1,1,3,3,3,6,3,3,9,9,11,11,11,11,11,11,11,11,11,3,3,13,13,13,13,13,3,13,13,13,13,13,13,13,13,13,13,13,13
133130219,0,0,2,2,2,3,6,5,2,9,9,11,11,11,11,11,11,11,11,11,4,4,4,4,4,4,26,26,26,26,26,26,26,26,26,26,26,26,26,26
134286190,0,1,2,3,3,3,6,3,3,9,2,11,11,11,11,11,11,2,11,11,4,4,13,13,13,13,13,13,13,4,13,13,13,13,13,13,13,13,13,13
136743465,0,1,2,3,3,3,6,2,3,2,2,2,2,2,2,15,15,15,2,2,13,13,22,22,22,22,22,22,22,13,13,22,32,32,32,32,32,32,32,32
141969940,0,1,2,3,3,3,6,3,3,9,9,11,11,11,11,11,11,11,11,11,3,3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
175485704,0,0,2,2,2,2,6,5,5,5,8,8,8,8,8,8,8,5,5,5,18,18,13,13,13,13,13,27,7,7,13,28,28,28,28,28,28,28,28,28
196406165,0,1,2,3,3,3,6,3,2,9,2,11,11,11,11,11,11,2,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
227832999,0,1,2,3,3,3,6,3,2,9,9,11,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,27,27,27,4,27,27,27,4,4,4,4,4
228003844,0,1,2,3,3,3,6,3,3,9,9,11,11,11,11,11,11,11,2,2,3,3,3,3,3,3,3,3,27,3,3,3,3,3,3,3,3,3,3,3
229924287,0,1,2,3,3,3,6,2,2,2,2,2,2,2,2,2,2,2,18,18,4,4,18,18,18,18,18,18,18,5,5,5,5,5,5,5,5,5,5,5
