job_id,cluster_k1,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8,cluster_k9,cluster_k10,cluster_k11,cluster_k12,cluster_k13,cluster_k14,cluster_k15,cluster_k16,cluster_k17,cluster_k18,cluster_k19,cluster_k20,cluster_k21,cluster_k22,cluster_k23,cluster_k24,cluster_k25,cluster_k26,cluster_k27,cluster_k28,cluster_k29,cluster_k30,cluster_k31,cluster_k32,cluster_k33,cluster_k34,cluster_k35,cluster_k36,cluster_k37,cluster_k38,cluster_k39,cluster_k40,cluster_k41,cluster_k42,cluster_k43,cluster_k44,cluster_k45,cluster_k46,cluster_k47,cluster_k48,cluster_k49,cluster_k50,cluster_k51,cluster_k52,cluster_k53,cluster_k54,cluster_k55,cluster_k56,cluster_k57,cluster_k58,cluster_k59,cluster_k60,cluster_k61,cluster_k62,cluster_k63,cluster_k64,cluster_k65,cluster_k66,cluster_k67,cluster_k68,cluster_k69,cluster_k70,cluster_k71,cluster_k72,cluster_k73,cluster_k74,cluster_k75,cluster_k76,cluster_k77,cluster_k78,cluster_k79,cluster_k80,cluster_k81,cluster_k82,cluster_k83,cluster_k84,cluster_k85,cluster_k86,cluster_k87,cluster_k88,cluster_k89,cluster_k90,cluster_k91,cluster_k92,cluster_k93,cluster_k94,cluster_k95,cluster_k96,cluster_k97,cluster_k98,cluster_k99,cluster_k100
921716,0,1,2,3,3,3,3,7,7,7,7,7,7,7,7,7,16,16,16,16,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,19,19,19,19,19,19,19,19,19,19,19,19,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
1829192,0,1,2,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,18,18,8,8,8,8,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,43,43,43,43,43,43,43,43,43,43,43,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
10998357,0,1,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,24,24,24,24,24,24,24,24,24,24,24,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
23221523,0,1,2,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,19,19,19,19,19,19,19,19,19,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
35982263,0,1,2,3,3,3,3,2,2,2,2,11,11,11,11,11,11,11,11,11,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
91700727,0,1,2,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
103254301,0,1,1,3,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
112576855,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1218575,0,1,2,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,18,18,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,43,43,43,43,43,43,43,43,43,43,43,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
2264355,0,1,2,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
